Code	Dimension	Question	HelpText1	HelpText2	HelpText3
s3_q7	Organization & People	"Our organizational structure has been optimized to effectively support the integration and operationalization of GenAI, with dedicated people assigned for accountabilities and KPI targets"	Description question mean under the organization framework for Q7	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q7"
s4_q1	Operations	"Our organization has implemented one or more solutions of GenAI to improve operating efficiency (e.g., process bottlenecks, decision-making, cost takeout)"	Description question mean under the operations framework for Q1	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s4_q2	Operations	"Our organization has revamped its operating model to effectively integrate GenAI into daily operations and supply chain, and integrated GenAI capability within key enterprise systems (e.g., SCIP, TMS, APS )"	Description question mean under the operations framework for Q2	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s4_q3	Operations	"Our organization has implemented more than one solution of GenAI to optimize its scenario planning and decision-making (e.g., demand forecast, inventory management, production planning)"	Description question mean under the operations framework for Q3	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s4_q4	Operations	"Our organization has implemented more than one solution of GenAI to manage its procurement (e.g., supplier selection, evaluation and compliance, contract management, real-time analytics)"	Description question mean under the operations framework for Q4	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s4_q5	Operations	"Our organization has implemented more than one solution of GenAI to enhance its production (e.g., new product design/prototyping, quality control/defect detection, process optimization)"	Description question mean under the operations framework for Q5	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s4_q6	Operations	"Our organization has implemented more than one solution of GenAI to advance its logistics and fulfillment (e.g., route/load optimization, warehouse management, real-time tracking/traceability)"	Description question mean under the operations framework for Q6	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q6"
s4_q7	Operations	"Our organization has implemented more than one solution of GenAI to strengthen its enterprise asset management (predictive maintenance, lifecycle management, space/facility optimization)"	Description question mean under the operations framework for Q7	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q7"
s5_q1	Cybersecurity & Risk	"Our organization has considered GenAI risks around design, data, performance, technology, third party and compliance"	Description question mean under the risk framework for Q1	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s5_q2	Cybersecurity & Risk	"Our organization has considered integrated GenAI to proactively identify and predict potential risks in real time and considers leveraging this input in compliance, fraud/loss prevention and internal audit areas"	Description question mean under the risk framework for Q2	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s5_q3	Cybersecurity & Risk	Our organization has GenAI models trained to perform continuous control monitoring	Description question mean under the risk framework for Q3	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s5_q4	Cybersecurity & Risk	Our organization is leveraging GenAI in performing risk and compliance tasks such as preparing test plans and producing audit reports	Description question mean under the risk framework for Q4	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s5_q5	Cybersecurity & Risk	"Our organization has an existing cross-functional governance framework, aligned to company goals and with clarity around the decision-making process and the risks that need to be mitigated"	Description question mean under the risk framework for Q5	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s5_q6	Cybersecurity & Risk	Our organization is up to date with all regulatory requirements around data and has adopted a framework to regulate GenAI activities	Description question mean under the risk framework for Q6	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q6"
s5_q7	Cybersecurity & Risk	Our organization has a process to monitor the lifecycle of all GenAI assets and established governance for the usage across all teams and functions	Description question mean under the risk framework for Q7	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q7"
s5_q8	Cybersecurity & Risk	"Our organization has considered ethical concerns, and social and environmental impacts from using GenAI"	Description question mean under the risk framework for Q8	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q8"
s5_q9	Cybersecurity & Risk	Our organization has set benchmarks for inclusivity and actively advocated for ethical GenAI practices industry-wide	Description question mean under the risk framework for Q9	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q9"
s5_q10	Cybersecurity & Risk	Our organization is pioneering eco-friendly GenAI design and incorporating green practices into development	Description question mean under the risk framework for Q10	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q10"
s5_q11	Cybersecurity & Risk	"Our organization has set of principles (i.e., value-based norms that guide and conduct: fairness, transparency, sustainability, accountability and reliability) that outlines what trusted/responsible/ethical GenAI means for our organization"	Description question mean under the risk framework for Q11	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q11"
s5_q12	Cybersecurity & Risk	"Our organization has considered risks such as data privacy, copyright issues and cybersecurity associated with GenAI, and our organization’s board, senior management and staff are aware of the risks posed by GenAI and know how to manage them"	Description question mean under the risk framework for Q12	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q12"
s6_q1	"Finance, Tax & Legal"	"Our organization has developed GenAI adoption guidance compatible with existing finance, tax and legal policies in place"	"Description question mean under the finance,tax,legal framework for Q1"	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s6_q2	"Finance, Tax & Legal"	"To stay ahead of the latest trends, our organization has assembled a team across functions under the CFO to facilitate the research and implementation efforts of GenAI to meet finance, tax and legal specialty and stay ahead of the latest trends"	"Description question mean under the finance,tax,legal framework for Q2"	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s6_q3	"Finance, Tax & Legal"	"Our organization has implemented more than one solution of GenAI to improve finance functions (e.g., real-time internal control and financial planning and analysis, routine financial task automation, adaptive budgeting, intelligent fraud detection)"	"Description question mean under the finance,tax,legal framework for Q3"	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s6_q4	"Finance, Tax & Legal"	"Our organization has implemented more than one solution of GenAI to enhance tax functions (e.g., routine tax tasks automation, tax planning and optimization, tax laws analysis)"	"Description question mean under the finance,tax,legal framework for Q4"	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s6_q5	"Finance, Tax & Legal"	"Our organization has implemented more than one solution of GenAI to streamline legal functions (e.g., legal document management, real-time disclosure and compliance analysis)"	"Description question mean under the finance,tax,legal framework for Q5"	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s7_q1	Data & Technology	"All of our organization’s data sources are identified, collapsed to single sources of truth where redundant, and quality-controlled for accuracy, labeled and well organized"	Description question mean under the technology framework for Q1	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q1"
s7_q2	Data & Technology	"Our organization’s data governance polices are established for privacy, compliance, security, and lineage tracking"	Description question mean under the technology framework for Q2	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q2"
s7_q3	Data & Technology	"Our organization’s data pipelines are developed to support the ingestion, scrubbing, pre-processing, and transformation of current and new data"	Description question mean under the technology framework for Q3	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q3"
s7_q4	Data & Technology	Our organization has considered infrastructure to support both local and cloud-based model deployments to serve for data classification and data latency	Description question mean under the technology framework for Q4	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q4"
s7_q5	Data & Technology	"Our organization has adopted newer back-office software and hardware strategies which complement generative AI (i.e., copilot)"	Description question mean under the technology framework for Q5	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q5"
s7_q6	Data & Technology	Our organization has a data warehouse strategy for supporting both structured and unstructured data at scale	Description question mean under the technology framework for Q6	Relevenace of this question to the org	"Examples for each rating (1, 2, 3, 4, 5) for Q6"
